specimen,code,interparietal,nasal_l,nasal_r,basioccipital_ll
Bal.acut_CAS23867,Ma2,39,,,
Bal.acut_HSU2670,Ma1,39,,,
Bal.acut_LACM72507,Mn2,39,,,
Bal.acut_USNM593554,Mn1,39,,,
Bal.acut_ZMCU1104,Mf2,,,,
Bal.acut_ZMCU1106,Mf1,,,,
Bal.bona_1874.4.13.2,An1,39,,,
Bal.bona_NSMT27171,Af6,,,,
Bal.bona_NSMT27175,Af7,,,,
Bal.bona_NSMTblue10,Af3,,,,
Bal.bona_NSMTwhite11,Af4,,,,
Bal.bona_NSMTwhite15,Af5,,,,
Bal.bor_1.5.7.12,Sf2,,,,
Bal.bor_1934.5.25.1,Sa1,39,,,
Bal.bor_UMZCC17M,Sf3,39,,,
Bal.mus_1.7.7.14,Bf1,,,,
Bal.mus_1892.3.1.1,Ba1,39,,,
Bal.mus_1997.409,Be6,,,,
Bal.mus_1997.424,Be5,,,,
Bal.mus_1997.429,Be4,,,,
Bal.mus_USNM260581,Be2,,,,
Bal.mus_USNM268885,Be3,,,,
Bal.phy_1862.2.7.181,Fa1,39,,,
Bal.phy_1997.441,Ff10,,,,
Bal.phy_1997.462,Ff9,,,,
Bal.phy_1997.463,Ff8,,,,
Bal.phy_USNM260585,Ff6,,,,
Bal.phy_USNM267106,Ff2,39,,,
Bal.phy_USNM268882,Ff3,,,,
Bal.phy_USNM268883,Ff5,,,,
Bal.phy_USNM268884,Ff4,,,,
Bal.phy_USNM269156,Ff7,,,,
Bal.phy_ZMCU1143,Ff1,,,,
Balaena_1986.1.16,Wa1,39,,,
Balaena_USNM571928,Wf1,,,,
Caperea_1876.2.16.1,Pj1,39,,,
Caperea_TMP012998,Pn1,39,,,
Eschrichtius_SDNHM25307,Gn1,,,,
Eschrichtius_USNM13803,Ga1,,,,
Kogia.bre_1866.2.5.6,Kogj1,39,4,9,
Kogia.bre_1952.8.28.2,Kogj2,,4,9,
Kogia.bre_1997.571,Koge1,39,4,9,
Kogia.bre_USNM22015,Koga1,39,4,9,
Kogia.bre_USNM504983,Kogf1,,4,9,
Lagenorhynchus.acu_1846.7.11.2,Lagf3,,,,
Lagenorhynchus.acu_USNM504196,Laga1,39,,,
Lagenorhynchus.alb_1847.4.4.2,Lagn1,,,,
Lagenorhynchus.sp_1997.549,Lagf1,,,,34
Lagenorhynchus.sp_1997.550,Lagf2,,,,
Megaptera_792a,Ha1,39,,,
Megaptera_LACM97707,Hj1,39,,,
Megaptera_SDNHM25557,Hf4,,,,
Megaptera_USNM260583,Hf6,,,,
Megaptera_USNM260584,Hf9,,,,
Megaptera_USNM267635,Hf7,,,,
Megaptera_USNM267637,Hf8,,,,
Phocoena.pho_1889.2.14.11,Phof1,,,,
Phocoena.pho_1943.21,Phoj3,,,,
Phocoena.pho_2021.2,Phoa3,,,,
Phocoena.pho_USNM010764,Phof5,,,,
Phocoena.pho_USNM270633,Phof8,,,,
